First Name,Last Name,Common Name,Image Path,Club,Country
Yangel,Herrera,,player_images\Yangel Herrera.png,Girona FC,Venezuela
Manuel,Akanji,,player_images\Manuel Akanji.png,Manchester City,Switzerland
Youssouf,Fofana,,player_images\Youssouf Fofana.png,AS Monaco,France
Matheus,Nunes,,player_images\Matheus Nunes.png,Manchester City,Portugal
Conor,Gallagher,,player_images\Conor Gallagher.png,Chelsea,England
Dries,Mertens,,player_images\Dries Mertens.png,Galatasaray,Belgium
,Fabinho,Fabinho,player_images\nan Fabinho.png,Al Ittihad,Brazil
Riccardo,Calafiori,,player_images\Riccardo Calafiori_2.png,Bologna,Italy
Marc,Guehi,,player_images\Marc Guehi.png,Crystal Palace,England
Daniel,Muñoz,,player_images\Daniel Muñoz.png,Crystal Palace,Colombia
Davinson,Sánchez,,player_images\Davinson Sánchez.png,Galatasaray,Colombia
Ferdi,Kadioglu,,player_images\Ferdi Kadioglu.png,Fenerbahçe,Turkey
Jeremy,Sarmiento,,player_images\Jeremy Sarmiento.png,Brighton,Ecuador
Moisés,Caicedo,,player_images\Moisés Caicedo.png,Chelsea,Ecuador
Yáser,Asprilla,,player_images\Yáser Asprilla.png,Watford,Colombia
Kieran,Trippier,,player_images\Kieran Trippier.png,Newcastle Utd,England
,Kessié,Kessié,player_images\nan Kessié.png,Al Ahli,Côte d'Ivoire
Matt,Targett,,player_images\Matt Targett.png,Newcastle Utd,England
Carson,Pickett,,player_images\Carson Pickett.png,Rac. Louisville,United States
Kristen,Hamilton,,player_images\Kristen Hamilton.png,KC Current,United States
Johan,Cruyff,,player_images\Johan Cruyff_4.png,EA FC ICONS,Netherlands
Mia,Hamm,Hamm,player_images\Mia Hamm.png,EA FC ICONS,United States
Ronaldinho,Ronaldinho,Ronaldinho,player_images\Ronaldinho Ronaldinho.png,EA FC ICONS,Brazil
Luka,Modric,,player_images\Luka Modric_4.png,Real Madrid,Croatia
Thierry,Henry,,player_images\Thierry Henry_4.png,EA FC ICONS,France
Paolo,Maldini,,player_images\Paolo Maldini_3.png,EA FC ICONS,Italy
Kylian,Mbappé,,player_images\Kylian Mbappé_5.png,Paris SG,France
Harry,Kane,,player_images\Harry Kane_3.png,FC Bayern München,England
Kylian,Mbappé,,player_images\Kylian Mbappé_6.png,Paris SG,France
Mané,Garrincha,,player_images\Mané Garrincha_2.png,EA FC ICONS,Brazil
Lev,Yashin,,player_images\Lev Yashin.png,EA FC ICONS,Russia
Neymar,Jr,,player_images\Neymar Jr_4.png,Al Hilal,Brazil
Neymar,Jr,,player_images\Neymar Jr_5.png,Al Hilal,Brazil
Patrick,Vieira,,player_images\Patrick Vieira_2.png,EA FC ICONS,France
Petr,Cech,,player_images\Petr Cech_2.png,EA FC ICONS,Czech Republic
George,Best,,player_images\George Best_2.png,EA FC ICONS,Northern Ireland
Bruno,Fernandes,,player_images\Bruno Fernandes_4.png,Manchester Utd,Portugal
Lothar,Matthäus,,player_images\Lothar Matthäus_2.png,EA FC ICONS,Germany
Rio,Ferdinand,,player_images\Rio Ferdinand_2.png,EA FC ICONS,England
,Sawa,Sawa,player_images\nan Sawa_2.png,EA FC ICONS,Japan
Harry,Kane,,player_images\Harry Kane_4.png,FC Bayern München,England
Luka,Modric,,player_images\Luka Modric_5.png,Real Madrid,Croatia
Rafael,Leão,,player_images\Rafael Leão_4.png,Milan,Portugal
Erling,Haaland,,player_images\Erling Haaland_7.png,Manchester City,Norway
Antunes,Coimbra,,player_images\Antunes Coimbra_2.png,EA FC ICONS,Brazil
Bixente,Lizarazu,,player_images\Bixente Lizarazu_2.png,Heroes,France
Ferland,Mendy,,player_images\Ferland Mendy_2.png,Real Madrid,France
Sonia,Bompastor,,player_images\Sonia Bompastor_2.png,Heroes,France
Georgia,Stanway,,player_images\Georgia Stanway_3.png,FC Bayern München,England
Luis,Díaz,,player_images\Luis Díaz_4.png,Liverpool,Colombia
Declan,Rice,,player_images\Declan Rice_4.png,Arsenal,England
Fridolina,Rolfö,,player_images\Fridolina Rolfö_2.png,FC Barcelona,Sweden
Harry,Kane,,player_images\Harry Kane_5.png,FC Bayern München,England
,,,player_images\nan nan_84.png,EA FC ICONS,Brazil
,,,player_images\nan nan_85.png,EA FC ICONS,Brazil
Dennis,Bergkamp,,player_images\Dennis Bergkamp_2.png,EA FC ICONS,Netherlands
Dennis,Bergkamp,,player_images\Dennis Bergkamp_3.png,EA FC ICONS,Netherlands
Alex,Morgan,,player_images\Alex Morgan_4.png,San Diego Wave,United States
,,,player_images\nan nan_86.png,Manchester City,Belgium
Karim,Benzema,,player_images\Karim Benzema_2.png,Al Ittihad,France
Karim,Benzema,,player_images\Karim Benzema_3.png,Al Ittihad,France
,,,player_images\nan nan_87.png,EA FC ICONS,Spain
,,,player_images\nan nan_88.png,FC Barcelona,Netherlands
Sadio,Mané,,player_images\Sadio Mané_2.png,Al Nassr,Senegal
Sadio,Mané,,player_images\Sadio Mané_3.png,Al Nassr,Senegal
Xabi,Alonso,,player_images\Xabi Alonso_2.png,EA FC ICONS,Spain
,,,player_images\nan nan_89.png,Heroes,Saudi Arabia
Dimitar,Berbatov,,player_images\Dimitar Berbatov_2.png,Heroes,Bulgaria
,Kaká,Kaká,player_images\nan Kaká_2.png,EA FC ICONS,Brazil
Roberto,Carlos,,player_images\Roberto Carlos_2.png,EA FC ICONS,Brazil
Iván,Córdoba,,player_images\Iván Córdoba_3.png,Heroes,Colombia
Gianluca,Vialli,,player_images\Gianluca Vialli.png,Heroes,Italy
Allan,Saint-Maximin,,player_images\Allan Saint-Maximin_2.png,Al Ahli,France
Wilfried,Zaha,,player_images\Wilfried Zaha_2.png,Galatasaray,Côte d'Ivoire
,Raphinha,Raphinha,player_images\nan Raphinha_3.png,FC Barcelona,Brazil
,,,player_images\nan nan_90.png,Manchester City,Spain
,,,player_images\nan nan_91.png,Inter,Germany
Jonathan,Clauss,,player_images\Jonathan Clauss_2.png,OM,France
Ruben,Loftus-Cheek,,player_images\Ruben Loftus-Cheek_2.png,Milan,England
Mayra,Ramírez,,player_images\Mayra Ramírez.png,Chelsea,Colombia
Lucas,Vázquez,,player_images\Lucas Vázquez.png,Real Madrid,Spain
Melvine,Malard,,player_images\Melvine Malard.png,Manchester Utd,France
Ollie,Watkins,,player_images\Ollie Watkins_2.png,Aston Villa,England
Chloe,Kelly,,player_images\Chloe Kelly.png,Manchester City,England
Kingsley,Coman,,player_images\Kingsley Coman.png,FC Bayern München,France
Ewa,Pajor,,player_images\Ewa Pajor.png,VfL Wolfsburg,Poland
,,,player_images\nan nan_92.png,FC Bayern München,Iceland
Victor,Boniface,,player_images\Victor Boniface_2.png,Leverkusen,Nigeria
Loïs,Openda,,player_images\Loïs Openda_2.png,RB Leipzig,Belgium
Xavi,Simons,,player_images\Xavi Simons_2.png,RB Leipzig,Netherlands
Nico,Schlotterbeck,,player_images\Nico Schlotterbeck_4.png,Borussia Dortmund,Germany
Leroy,Sané,,player_images\Leroy Sané_2.png,FC Bayern München,Germany
Jonathan,Clauss,,player_images\Jonathan Clauss_3.png,OM,France
,Raphinha,Raphinha,player_images\nan Raphinha_4.png,FC Barcelona,Brazil
Allan,Saint-Maximin,,player_images\Allan Saint-Maximin_3.png,Al Ahli,France
,,,player_images\nan nan_93.png,Inter,Germany
Wilfried,Zaha,,player_images\Wilfried Zaha_3.png,Galatasaray,Côte d'Ivoire
Ruben,Loftus-Cheek,,player_images\Ruben Loftus-Cheek_3.png,Milan,England
,,,player_images\nan nan_94.png,Manchester City,Spain
Nico,Schlotterbeck,,player_images\Nico Schlotterbeck_4.png,Borussia Dortmund,Germany
Loïs,Openda,,player_images\Loïs Openda_3.png,RB Leipzig,Belgium
Ollie,Watkins,,player_images\Ollie Watkins_3.png,Aston Villa,England
Victor,Boniface,,player_images\Victor Boniface_3.png,Leverkusen,Nigeria
Melvine,Malard,,player_images\Melvine Malard_2.png,Manchester Utd,France
Xavi,Simons,,player_images\Xavi Simons_3.png,RB Leipzig,Netherlands
Kingsley,Coman,,player_images\Kingsley Coman_2.png,FC Bayern München,France
Riyad,Mahrez,,player_images\Riyad Mahrez.png,Al Ahli,Algeria
Joey,Veerman,,player_images\Joey Veerman.png,PSV,Netherlands
Ewa,Pajor,,player_images\Ewa Pajor_2.png,VfL Wolfsburg,Poland
,,,player_images\nan nan_95.png,FC Bayern München,Iceland
Amel,Majri,,player_images\Amel Majri.png,OL,France
Lucas,Hernández,,player_images\Lucas Hernández.png,Paris SG,France
Ada,Hegerberg,,player_images\Ada Hegerberg.png,OL,Norway
,,,player_images\nan nan_96.png,Stade Brestois 29,France
Pierre-Emerick,Aubameyang,,player_images\Pierre-Emerick Aubameyang_2.png,OM,Gabon
Pierre,Lees-Melou,,player_images\Pierre Lees-Melou.png,Stade Brestois 29,France
Takumi,Minamino,,player_images\Takumi Minamino_2.png,AS Monaco,Japan
Ada,Hegerberg,,player_images\Ada Hegerberg_2.png,OL,Norway
Amel,Majri,,player_images\Amel Majri_2.png,OL,France
,,,player_images\nan nan_97.png,Stade Brestois 29,France
Pierre,Lees-Melou,,player_images\Pierre Lees-Melou_2.png,Stade Brestois 29,France
Riyad,Mahrez,,player_images\Riyad Mahrez_2.png,Al Ahli,Algeria
Lucas,Hernández,,player_images\Lucas Hernández_2.png,Paris SG,France
Joey,Veerman,,player_images\Joey Veerman_2.png,PSV,Netherlands
Pierre-Emerick,Aubameyang,,player_images\Pierre-Emerick Aubameyang_3.png,OM,Gabon
Sergio,Busquets,,player_images\Sergio Busquets.png,Inter Miami CF,Spain
Lukas,Podolski,,player_images\Lukas Podolski.png,Górnik Zabrze,Germany
Toby,Alderweireld,,player_images\Toby Alderweireld.png,Royal Antwerp FC,Belgium
Alexandre,Lacazette,,player_images\Alexandre Lacazette_2.png,OL,France
Lukas,Podolski,,player_images\Lukas Podolski_2.png,Górnik Zabrze,Germany
Sergio,Busquets,,player_images\Sergio Busquets_2.png,Inter Miami CF,Spain
Toby,Alderweireld,,player_images\Toby Alderweireld_2.png,Royal Antwerp FC,Belgium
,,,player_images\nan nan_98.png,Real Madrid,Spain
,Rodrygo,Rodrygo,player_images\nan Rodrygo_2.png,Real Madrid,Brazil
,Camavinga,Camavinga,player_images\nan camavinga.png,Real Madrid,France
Ronald,Araujo,,player_images\Ronald Araujo_2.png,FC Barcelona,Uruguay
,,,player_images\nan nan_99.png,Girona FC,Brazil
,Azpilicueta,Azpilicueta,player_images\nan Azpilicueta.png,Atlético de Madrid,Spain
Ilkay,Gündogan,,player_images\Ilkay Gündogan.png,FC Barcelona,Germany
Ilkay,Gündogan,,player_images\Ilkay Gündogan_2.png,FC Barcelona,Germany
Ronald,Araujo,,player_images\Ronald Araujo_3.png,FC Barcelona,Uruguay
,,,player_images\nan nan_100.png,Girona FC,Brazil
,Rodrygo,Rodrygo,player_images\nan Rodrygo_3.png,Real Madrid,Brazil
,Camavinga,Camavinga,player_images\nan camavinga.png,Real Madrid,France
,,,player_images\nan nan_101.png,Real Madrid,Spain
Dzsenifer,Marozsán,,player_images\Dzsenifer Marozsán_2.png,OL,Germany
Leonardo,Bonucci,,player_images\Leonardo Bonucci_2.png,Fenerbahçe,Italy
Leonardo,Bonucci,,player_images\Leonardo Bonucci_3.png,Fenerbahçe,Italy
Ángel,Correa,,player_images\Ángel Correa_2.png,Atlético de Madrid,Argentina
Etienne,Capoue,,player_images\Etienne Capoue.png,Villarreal CF,France
Khvicha,Kvaratskhelia,,player_images\Khvicha Kvaratskhelia_2.png,Napoli FC,Georgia
Domenico,Berardi,,player_images\Domenico Berardi.png,Sassuolo,Italy
Federico,Dimarco,,player_images\Federico Dimarco_2.png,Inter,Italy
Lorenzo,Pellegrini,,player_images\Lorenzo Pellegrini.png,Roma FC,Italy
Ademola,Lookman,,player_images\Ademola Lookman_2.png,Bergamo Calcio,Nigeria
Trinity,Rodman,,player_images\Trinity Rodman_2.png,Washington Spirit,United States
Domenico,Berardi,,player_images\Domenico Berardi_2.png,Sassuolo,Italy
Khvicha,Kvaratskhelia,,player_images\Khvicha Kvaratskhelia_3.png,Napoli FC,Georgia
Federico,Dimarco,,player_images\Federico Dimarco_3.png,Inter,Italy
Lorenzo,Pellegrini,,player_images\Lorenzo Pellegrini_2.png,Roma FC,Italy
Jamie,Bynoe-Gittens,,player_images\Jamie Bynoe-Gittens.png,Borussia Dortmund,England
Henrikh,Mkhitaryan,,player_images\Henrikh Mkhitaryan.png,Inter,Armenia
,,,player_images\nan nan_102.png,Inter Miami CF,Spain
,,,player_images\nan nan_103.png,Inter Miami CF,Spain
Felipe,Anderson,,player_images\Felipe Anderson.png,Latium,Brazil
Nacho,Fernández,,player_images\Nacho Fernández.png,Real Madrid,Spain
Kieran,Tierney,,player_images\Kieran Tierney.png,Real Sociedad,Scotland
Guglielmo,Vicario,,player_images\Guglielmo Vicario.png,Spurs,Italy
Edson,Álvarez,,player_images\Edson Álvarez.png,West Ham,Mexico
Miguel,Almirón,,player_images\Miguel Almirón.png,Newcastle Utd,Paraguay
Orkun,Kökçü,,player_images\Orkun Kökçü.png,SL Benfica,Turkey
Andreas,Christensen,,player_images\Andreas Christensen.png,FC Barcelona,Denmark
Ryan,Christie,,player_images\Ryan Christie.png,AFC Bournemouth,Scotland
Ariel,Lassiter,,player_images\Ariel Lassiter.png,CF Montréal,Costa Rica
Dan,Ndoye,,player_images\Dan Ndoye.png,Bologna,Switzerland
Dušan,Vlahovic,,player_images\Dušan Vlahovic.png,Juventus,Serbia
Nikola,Vlašic,,player_images\Nikola Vlašic.png,Torino,Croatia
Nikola,Milenkovic,,player_images\Nikola Milenkovic.png,Fiorentina,Serbia
Jorge,Sánchez,,player_images\Jorge Sánchez.png,FC Porto,Mexico
Georges,Mikautadze,,player_images\Georges Mikautadze.png,FC Metz,Georgia
Maximilian,Mittelstädt,,player_images\Maximilian Mittelstädt.png,VfB Stuttgart,Germany
Ivan,Ilic,,player_images\Ivan Ilic.png,Torino,Serbia
Pascal,Groß,,player_images\Pascal Groß.png,Brighton,Germany
Ivan,Toney,,player_images\Ivan Toney.png,Brentford,England
Stefan,Posch,,player_images\Stefan Posch.png,Bologna,Austria
Timothy,Weah,,player_images\Timothy Weah.png,Juventus,United States
Tijjani,Reijnders,,player_images\Tijjani Reijnders.png,Milan,Netherlands
Ramón,Sosa,,player_images\Ramón Sosa.png,Talleres,Paraguay
Julio,Cascante,,player_images\Julio Cascante.png,Austin FC,Costa Rica
Josh,Sargent,,player_images\Josh Sargent.png,Norwich,United States
William,Pacho,,player_images\William Pacho.png,Frankfurt,Ecuador
Jorge,Campos,,player_images\Jorge Campos.png,Heroes,Mexico
Rui,Costa,,player_images\Rui Costa.png,Heroes,Portugal
Gianluca,Zambrotta,,player_images\Gianluca Zambrotta.png,EA FC ICONS,Italy
Hugo,Sánchez,,player_images\Hugo Sánchez.png,EA FC ICONS,Mexico
,Bijol,Bijol,player_images\nan Bijol.png,Udinese,Slovenia
Florian,Grillitsch,,player_images\Florian Grillitsch.png,TSG Hoffenheim,Austria
Kevin,Rodríguez,,player_images\Kevin Rodríguez.png,R. Union St.-G.,Ecuador
Jack,Grealish,,player_images\Jack Grealish.png,Manchester City,England
Birgit,Prinz,Prinz,player_images\Birgit Prinz.png,EA FC ICONS,Germany
Bobby,Charlton,Charlton,player_images\Bobby Charlton.png,EA FC ICONS,England
Gerd,Müller,Müller,player_images\Gerd Müller.png,EA FC ICONS,Germany
Paolo,Maldini,,player_images\Paolo Maldini_4.png,EA FC ICONS,Italy
Mané,Garrincha,,player_images\Mané Garrincha_3.png,EA FC ICONS,Brazil
Lev,Yashin,,player_images\Lev Yashin_2.png,EA FC ICONS,Russia
Ferenc,Puskás,,player_images\Ferenc Puskás_4.png,EA FC ICONS,Hungary
Victor,Osimhen,,player_images\Victor Osimhen_3.png,Napoli FC,Nigeria
Kylian,Mbappé,,player_images\Kylian Mbappé_7.png,Paris SG,France
Harry,Kane,,player_images\Harry Kane_6.png,FC Bayern München,England
Andrea,Pirlo,,player_images\Andrea Pirlo_3.png,EA FC ICONS,Italy
Harry,Kane,,player_images\Harry Kane_7.png,FC Bayern München,England
Erling,Haaland,,player_images\Erling Haaland_8.png,Manchester City,Norway
,Eusébio,Eusébio,player_images\nan Eusébio_2.png,EA FC ICONS,Portugal
Antunes,Coimbra,,player_images\Antunes Coimbra_3.png,EA FC ICONS,Brazil
,,,player_images\nan nan_104.png,Manchester City,Belgium
Kylian,Mbappé,,player_images\Kylian Mbappé_8.png,Paris SG,France
Kylian,Mbappé,,player_images\Kylian Mbappé_9.png,Paris SG,France
Marie,Katoto,,player_images\Marie Katoto_3.png,Paris SG,France
Neymar,Jr,,player_images\Neymar Jr_6.png,Al Hilal,Brazil
Marcos,Cafú,,player_images\Marcos Cafú_3.png,EA FC ICONS,Brazil
Kadidiatou,Diani,,player_images\Kadidiatou Diani_3.png,OL,France
Iker,Casillas,,player_images\Iker Casillas_2.png,EA FC ICONS,Spain
Karim,Benzema,,player_images\Karim Benzema_4.png,Al Ittihad,France
Lionel,Messi,,player_images\Lionel Messi_6.png,Inter Miami CF,Argentina
Zinedine,Zidane,,player_images\Zinedine Zidane_5.png,EA FC ICONS,France
,,,player_images\nan nan_105.png,FC Barcelona,Spain
,,,player_images\nan nan_106.png,EA FC ICONS,Netherlands
,,,player_images\nan nan_107.png,FC Barcelona,Spain
Dennis,Bergkamp,,player_images\Dennis Bergkamp_4.png,EA FC ICONS,Netherlands
,,,player_images\nan nan_108.png,EA FC ICONS,Spain
Mohamed,Salah,,player_images\Mohamed Salah_6.png,Liverpool,Egypt
Mohamed,Salah,,player_images\Mohamed Salah_7.png,Liverpool,Egypt
Franck,Ribéry,,player_images\Franck Ribéry_2.png,EA FC ICONS,France
Alex,Morgan,,player_images\Alex Morgan_5.png,San Diego Wave,United States
Philipp,Lahm,,player_images\Philipp Lahm_2.png,EA FC ICONS,Germany
Mohamed,Salah,,player_images\Mohamed Salah_8.png,Liverpool,Egypt
Kadidiatou,Diani,,player_images\Kadidiatou Diani_4.png,OL,France
Roberto,Carlos,,player_images\Roberto Carlos_3.png,EA FC ICONS,Brazil
Lucy,Bronze,,player_images\Lucy Bronze_2.png,FC Barcelona,England
Guro,Reiten,,player_images\Guro Reiten_2.png,Chelsea,Norway
Romelu,Lukaku,,player_images\Romelu Lukaku_2.png,Roma FC,Belgium
Gianluigi,Donnarumma,,player_images\Gianluigi Donnarumma_3.png,Paris SG,Italy
,Pedri,Pedri,player_images\nan Pedri_2.png,FC Barcelona,Spain
Joshua,Kimmich,,player_images\Joshua Kimmich_2.png,FC Bayern München,Germany
Lindsey,Horan,,player_images\Lindsey Horan.png,OL,United States
,,,player_images\nan nan_109.png,FC Barcelona,Norway
Borba,Ferreira,,player_images\Borba Ferreira.png,EA FC ICONS,Brazil
Roberto,Baggio,,player_images\Roberto Baggio_2.png,EA FC ICONS,Italy
Carlos,Tevez,,player_images\Carlos Tevez_2.png,Heroes,Argentina
Nadine,Kessler,,player_images\Nadine Kessler_2.png,Heroes,Germany
Vincent,Kompany,,player_images\Vincent Kompany_2.png,Heroes,Belgium
Amel,Majri,,player_images\Amel Majri_3.png,OL,France
,,,player_images\nan nan_110.png,FC Bayern München,Netherlands
Chloe,Kelly,,player_images\Chloe Kelly_2.png,Manchester City,England
Timo,Werner,,player_images\Timo Werner_2.png,Spurs,Germany
Chris,Führich,,player_images\Chris Führich.png,VfB Stuttgart,Germany
Robert,Lewandowski,,player_images\Robert Lewandowski_5.png,FC Barcelona,Poland
,Ramires,Ramires,player_images\nan Ramires_2.png,Heroes,Brazil
Steve,McManaman,,player_images\Steve McManaman_2.png,Heroes,England
,,,player_images\nan nan_111.png,Heroes,Brazil
,,,player_images\nan nan_112.png,Heroes,Portugal
,,,player_images\nan nan_113.png,EA FC ICONS,Netherlands
Bukayo,Saka,,player_images\Bukayo Saka_4.png,Arsenal,England
Bukayo,Saka,,player_images\Bukayo Saka_5.png,Arsenal,England
,Sócrates,Sócrates,player_images\nan Sócrates_2.png,EA FC ICONS,Brazil
,,,player_images\nan nan_114.png,EA FC ICONS,Netherlands
Emilio,Butragueño,,player_images\Emilio Butragueño_2.png,EA FC ICONS,Spain
Robert,Lewandowski,,player_images\Robert Lewandowski_6.png,FC Barcelona,Poland
Javier,Zanetti,,player_images\Javier Zanetti_2.png,EA FC ICONS,Argentina
Javier,Zanetti,,player_images\Javier Zanetti_3.png,EA FC ICONS,Argentina
Ian,Wright,,player_images\Ian Wright.png,EA FC ICONS,England
Ian,Wright,,player_images\Ian Wright_2.png,EA FC ICONS,England
Alessandro,Nesta,,player_images\Alessandro Nesta.png,EA FC ICONS,Italy
Leon,Goretzka,,player_images\Leon Goretzka_4.png,FC Bayern München,Germany
Leon,Goretzka,,player_images\Leon Goretzka_5.png,FC Bayern München,Germany
Phil,Foden,,player_images\Phil Foden_9.png,Manchester City,England
Hugo,Sánchez,,player_images\Hugo Sánchez_2.png,EA FC ICONS,Mexico
Hugo,Sánchez,,player_images\Hugo Sánchez_3.png,EA FC ICONS,Mexico
,,,player_images\nan nan_115.png,FC Barcelona,Spain
Ashley,Cole,,player_images\Ashley Cole_2.png,EA FC ICONS,England
Jürgen,Kohler,,player_images\Jürgen Kohler_2.png,Heroes,Germany
David,Ginola,,player_images\David Ginola_2.png,Heroes,France
Frank,Lampard,,player_images\Frank Lampard.png,EA FC ICONS,England
Tomas,Rosicky,,player_images\Tomas Rosicky.png,Heroes,Czech Republic
,,,player_images\nan nan_116.png,Heroes,Korea Republic
Éric,Cantona,,player_images\Éric Cantona_2.png,EA FC ICONS,France
Gary,Lineker,,player_images\Gary Lineker.png,EA FC ICONS,England
Marcel,Desailly,,player_images\Marcel Desailly_2.png,EA FC ICONS,France
Piero,Hincapié,,player_images\Piero Hincapié_2.png,Leverkusen,Ecuador
Dominik,Szoboszlai,,player_images\Dominik Szoboszlai_2.png,Liverpool,Hungary
Mohammed,Kudus,,player_images\Mohammed Kudus_2.png,West Ham,Ghana
Cristian,Romero,,player_images\Cristian Romero_2.png,Spurs,Argentina
,,,player_images\nan nan_117.png,Al Ahli,Spain
Kobbie,Mainoo,,player_images\Kobbie Mainoo.png,Manchester Utd,England
Jordan,Teze,,player_images\Jordan Teze.png,PSV,Netherlands
Dávid,Hancko,,player_images\Dávid Hancko.png,Feyenoord,Slovakia
,,,player_images\nan nan_118.png,Manchester Utd,Argentina
Christopher,Nkunku,,player_images\Christopher Nkunku_2.png,Chelsea,France
Dávid,Hancko,,player_images\Dávid Hancko_2.png,Feyenoord,Slovakia
Katie,Zelem,,player_images\Katie Zelem.png,Manchester Utd,England
Fernando,Muslera,,player_images\Fernando Muslera.png,Galatasaray,Uruguay
,,,player_images\nan nan_119.png,Liverpool,Argentina
Julián,Álvarez,,player_images\Julián Álvarez_3.png,Manchester City,Argentina
Ibrahima,Konaté,,player_images\Ibrahima Konaté_2.png,Liverpool,France
Aaron,Wan-Bissaka,,player_images\Aaron Wan-Bissaka.png,Manchester Utd,England
Barbara,Dunst,,player_images\Barbara Dunst.png,Frankfurt,Austria
Natasha,Kowalski,,player_images\Natasha Kowalski.png,SGS Essen,Germany
Serhou,Guirassy,,player_images\Serhou Guirassy.png,VfB Stuttgart,Guinea
Granit,Xhaka,,player_images\Granit Xhaka_2.png,Leverkusen,Switzerland
Piero,Hincapié,,player_images\Piero Hincapié_3.png,Leverkusen,Ecuador
Dominik,Szoboszlai,,player_images\Dominik Szoboszlai_3.png,Liverpool,Hungary
,,,player_images\nan nan_120.png,Manchester Utd,Argentina
Christopher,Nkunku,,player_images\Christopher Nkunku_3.png,Chelsea,France
Serhou,Guirassy,,player_images\Serhou Guirassy_2.png,VfB Stuttgart,Guinea
Mohammed,Kudus,,player_images\Mohammed Kudus_3.png,West Ham,Ghana
Cristian,Romero,,player_images\Cristian Romero_3.png,Spurs,Argentina
Barbara,Dunst,,player_images\Barbara Dunst_2.png,Frankfurt,Austria
Granit,Xhaka,,player_images\Granit Xhaka_3.png,Leverkusen,Switzerland
Fernando,Muslera,,player_images\Fernando Muslera_2.png,Galatasaray,Uruguay
,,,player_images\nan nan_121.png,Liverpool,Argentina
Mario,Balotelli,,player_images\Mario Balotelli.png,Adana Demirspor,Italy
Exequiel,Palacios,,player_images\Exequiel Palacios.png,Leverkusen,Argentina
Katie,Zelem,,player_images\Katie Zelem_2.png,Manchester Utd,England
Natasha,Kowalski,,player_images\Natasha Kowalski_2.png,SGS Essen,Germany
Nuno,Mendes,,player_images\Nuno Mendes_4.png,Paris SG,Portugal
Clara,Mateo,,player_images\Clara Mateo.png,Paris FC,France
,,,player_images\nan nan_122.png,LOSC Lille,Portugal
Clara,Mateo,,player_images\Clara Mateo_2.png,Paris FC,France
Mario,Balotelli,,player_images\Mario Balotelli_2.png,Adana Demirspor,Italy
Nuno,Mendes,,player_images\Nuno Mendes_4.png,Paris SG,Portugal
,,,player_images\nan nan_123.png,LOSC Lille,Portugal
Jamie,Vardy,,player_images\Jamie Vardy.png,Leicester City,England
,,,player_images\nan nan_124.png,Al Hilal,Saudi Arabia
Rúben,Neves,,player_images\Rúben Neves.png,Al Hilal,Portugal
Jonas,Hofmann,,player_images\Jonas Hofmann.png,Leverkusen,Germany
Rúben,Neves,,player_images\Rúben Neves_2.png,Al Hilal,Portugal
,,,player_images\nan nan_125.png,Al Hilal,Saudi Arabia
Jamie,Vardy,,player_images\Jamie Vardy_2.png,Leicester City,England
Cristina,Martín-Prieto,,player_images\Cristina Martín-Prieto.png,Sevilla FC,Spain
,Carvajal,Carvajal,player_images\nan Carvajal_2.png,Real Madrid,Spain
,,,player_images\nan nan_126.png,Girona FC,Spain
,,,player_images\nan nan_127.png,Girona FC,Spain
Iñaki,Williams,,player_images\Iñaki Williams_2.png,Athletic Club,Ghana
Cristina,Martín-Prieto,,player_images\Cristina Martín-Prieto_2.png,Sevilla FC,Spain
,,,player_images\nan nan_128.png,Girona FC,Spain
,,,player_images\nan nan_129.png,Girona FC,Spain
,Carvajal,Carvajal,player_images\nan Carvajal_3.png,Real Madrid,Spain
Takefusa,Kubo,,player_images\Takefusa Kubo_2.png,Real Sociedad,Japan
Jobe,Bellingham,,player_images\Jobe Bellingham.png,Sunderland,England
James,Tavernier,,player_images\James Tavernier.png,Rangers,England
Crysencio,Summerville,,player_images\Crysencio Summerville.png,Leeds United,Netherlands
,,,player_images\nan nan_130.png,PSV,Netherlands
Jobe,Bellingham,,player_images\Jobe Bellingham_2.png,Sunderland,England
Crysencio,Summerville,,player_images\Crysencio Summerville_2.png,Leeds United,Netherlands
James,Tavernier,,player_images\James Tavernier_2.png,Rangers,England
,,,player_images\nan nan_131.png,PSV,Netherlands
Alexander,Sørloth,,player_images\Alexander Sørloth_2.png,Villarreal CF,Norway
Adrien,Rabiot,,player_images\Adrien Rabiot_2.png,Juventus,France
,Bremer,Bremer,player_images\nan Bremer_2.png,Juventus,Brazil
Jane,Campbell,,player_images\Jane Campbell.png,Houston Dash,United States
Joshua,Zirkzee,,player_images\Joshua Zirkzee.png,Bologna,Netherlands
Jane,Campbell,,player_images\Jane Campbell_2.png,Houston Dash,United States
,Bremer,Bremer,player_images\nan Bremer_3.png,Juventus,Brazil
Adrien,Rabiot,,player_images\Adrien Rabiot_3.png,Juventus,France
,Wendell,Wendell,player_images\nan Wendell_2.png,FC Porto,Brazil
,Wendell,Wendell,player_images\nan Wendell_3.png,FC Porto,Brazil
Sofia,Huerta,,player_images\Sofia Huerta.png,OL Reign,United States
Julie,Soyer,,player_images\Julie Soyer.png,Paris FC,France
Marcelo,Brozovic,,player_images\Marcelo Brozovic.png,Al Nassr,Croatia
Elseid,Hysaj,,player_images\Elseid Hysaj.png,Latium,Albania
